match_set,score_set,brand_set
CALP,86,ALP
SAN SEBASTIÁN DE LOS REYES,86,SAN SEBASTIÁN DE LOS BALLESTEROS
HORNACHUELOS,86,HORNACHOS
SANT ISCLE DE VALLALTA,86,SANT CEBRIÀ DE VALLALTA
RIPOLLET,86,RIPOLL
RIBAMONTÁN AL MONTE,86,RIBAMONTÁN AL MAR
VILLANUEVA DE LA TORRE,86,VILLANUEVA DE LA JARA
MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE LA ZONA DE NOÁIN,86,"MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE ANSOßIN, BERRIOPLANO, BERRIOZAR, IZA Y JUSLAPE±A"
PALOMARES DEL RÍO,86,PALMA DEL RÍO
VALENCINA DE LA CONCEPCIÓN,86,"LÍNEA DE LA CONCEPCIÓN, LA"
VALDEMORO,86,VALDEMORILLO
UDÍAS,86,DAS
TOÉN,86,TONA
BENIMELI,86,BENIEL
VILLANUEVA DE LA JARA,86,VILLANUEVA DE LA FUENTE
TORREMOLINOS,86,REMOLINOS
VILLANUEVA DE LA SERENA,86,VILLANUEVA DE LA JARA
CAUDETE,86,CADRETE
TIVISSA,86,EIVISSA
MORELLA,86,CORELLA
CIUDAD AUTÓNOMA DE MELILLA,85,CIUDAD AUTÓNOMA DE CEUTA
COMARCA DE COMUNIDAD DE CALATAYUD,85,COMARCA COMUNIDAD DE TERUEL
VILANOVA DE SAU,85,"VILANOVA DE LA BARCA, VILANOVA DE AROUSA"
SAN MIGUEL DE SALINAS,85,SAN MIGUEL DE ABONA
SANT FELIU DE LLOBREGAT,85,SANT CLIMENT DE LLOBREGAT
VILASSAR DE MAR,85,VILASSAR DE DALT
MORÓN DE LA FRONTERA,85,"CHICLANA DE LA FRONTERA, AGUILAR DE LA FRONTERA"
OLIVA DE LA FRONTERA,85,CONIL DE LA FRONTERA
LLES DE CERDANYA,85,GUILS DE CERDANYA
CONSELL COMARCAL DE OSONA,85,CONSELL COMARCAL  DEL MOIANÈS
ALCOLEA DEL RÍO,85,ALCALÁ DEL RÍO
VILLALBA DE LOS BARROS,85,VILLAFRANCA DE LOS BARROS
"GALERA, LA",84,"ALBERCA, LA"
VILLANUEVA DE LA FUENTE,84,VILLANUEVA DE LA CAÑADA
VILLANUEVA DE LA TORRE,84,"VILLANUEVA DE LA CAÑADA, VILLANUEVA DE LA SERENA, VILLANUEVA DE LA FUENTE"
SANTIAGO DE COMPOSTELA,84,CASTELLAR DE SANTIAGO
MANCOMUNITAT INTERMUNICIPAL DE LA CONCA D'ÒDENA,84,MANCOMUNIDAD INTERMUNICIPAL DEL VALLE DEL VINALOPÓ-MANCOMUNITAT INTERMUNICIPAL DE LA VALL DEL VINALOPÓ
FIGUERUELAS,84,FIGUERES
MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES DEL ESTE DE MADRID (MISSEM),84,MANCOMUNIDAD DE SERVICIOS SOCIALES DE SIERRA OESTE
SANT PERE DE RIUDEBITLLES,84,SANT PERE DE RIBES
COMARCA DE CAMPO DE CARIÑENA,84,COMARCA DE CAMPO DE BORJA
AZNALCÓLLAR,84,AZNALCÁZAR
CONIL DE LA FRONTERA,84,CHICLANA DE LA FRONTERA
COMARCA DE CAMPO DE BORJA,84,COMARCA DE CAMPO DE BELCHITE
COMARCA DE CINCA MEDIO,84,COMARCA DE BAJO CINCA/BAIX CINCA
COMARCA DE CAMPO DE DAROCA,84,COMARCA DE CAMPO DE BORJA
"PUIG DE SANTA MARIA, EL",84,"PUERTO DE SANTA MARÍA, EL"
VILLANUEVA DEL PARDILLO,84,VILLANUEVA DEL ARISCAL
CONSTANTÍ,84,CONSTANTINA
SANTA POLA,84,SANTA PAU
SANTA MARIA D'OLÓ,84,SANT POL DE MAR
SANT FELIU DE LLOBREGAT,84,"PRAT DE LLOBREGAT, EL"
SANTA MARÍA DE CAYÓN,84,"PUERTO DE SANTA MARÍA, EL"
MORATA DE TAJUÑA,84,LORANCA DE TAJUÑA
ARENAS DE SAN PEDRO,84,ARENAS DE SAN JUAN
SANT VICENÇ DE TORELLÓ,84,SANT VICENÇ DE CASTELLET
MANCOMUNIDAD DE SERVICIOS SOCIALES DE SIERRA OESTE,84,"MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE ANSOßIN, BERRIOPLANO, BERRIOZAR, IZA Y JUSLAPE±A, MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE LA ZONA DE NOÁIN"
SAN CRISTÓBAL DE LA POLANTERA,84,SAN CRISTÓBAL DE LA CUESTA
SAN CRISTÓBAL DE LA LAGUNA,84,SAN CRISTÓBAL DE LA CUESTA
ALDEADÁVILA DE LA RIBERA,84,ALBALAT DE LA RIBERA
SANTA MARTA DE TORMES,84,SANT MARTÍ DE TOUS
COMARCA DE BAJO ARAGÓN,84,COMARCA DE ARANDA
"MANCOMUNIDAD DE SERVICIOS SOCIALES DE TORRELODONES, HOYO DE MANZANARES, ALPEDRETE Y MORALZARZAL (T.H.A.M.)",84,MANCOMUNIDAD DE SERVICIOS SOCIALES DE SIERRA OESTE
CAPELLADES,84,CAMPELLES
YUNQUERA DE HENARES,84,AZUQUECA DE HENARES
"MASIES DE VOLTREGÀ, LES",84,"MASIES DE RODA, LES"
CARBALLO,84,"CARBALLIÑO, O"
VILLANUEVA DE LA SERENA,84,VILLANUEVA DE LA CAÑADA
VILLANUEVA DE LA SERENA,83,VILLANUEVA DE LA FUENTE
PIÉLAGOS,83,PILAS
LUCILLO,83,LILLO
HUÉSCAR,83,HUESCA
TAVERNES DE LA VALLDIGNA,83,SIMAT DE LA VALLDIGNA
TOLEDO,83,OLMEDO
CHELVA,83,CHELLA
CATRAL,83,CARRAL
LLES DE CERDANYA,83,CERDANYOLA DEL VALLÈS
"L'ESTARTIT, ENTIDAD LOCAL MENOR",83,"GAMONAL, ENTIDAD LOCAL MENOR"
"ALDEA, L'",83,"ALDEA DEL CANO, ALDEA DEL REY"
CANGAS,83,CANALS
SALINAS,83,SALAS
SALDAÑA,83,ALDAIA
"JESÚS POBRE, ENTIDAD LOCAL MENOR",83,"GAMONAL, ENTIDAD LOCAL MENOR, BEMBRIVE, ENTIDAD LOCAL MENOR"
CARDONA,83,ARONA
CARMONA,83,ARONA
CARRAL,83,ARRÚBAL
LAREDO,83,ARNEDO
SIMAT DE LA VALLDIGNA,83,BENIFAIRÓ DE LA VALLDIGNA
VILLANÚA,83,VIANA
LLANES,83,BLANES
SESTAO,83,ESTADO
LLERA,83,"LLANERA, CULLERA"
LLERENA,83,LLERA
SILLA,83,SEVILLA
CASTEJÓN DE VALDEJASA,83,CASTEJÓN DE SOS
SILLEDA,83,SILLA
SEVILLA,83,SELLA
ALDAIA,83,ALCÚDIA
BAIONA,83,AITONA
CORELLA,83,CELLA
CONSELL COMARCAL DE BAIX EMPORDÀ,83,CONSEJO COMARCAL DE BAIX EBRE
ORCERA,83,CORERA
CONSELL COMARCAL DE BAIX PENEDÈS,83,CONSEJO COMARCAL DE BAIX EBRE
"PICAMOIXONS, ENTIDAD LOCAL MENOR",83,"GAMONAL, ENTIDAD LOCAL MENOR"
"CONSEJO COMARCAL DE BIERZO, EL",83,CONSEJO COMARCAL DE BAIX EBRE
VEGA DE SAN MATEO,83,SAN MATEO DE GÁLLEGO
PADRÓN,83,PADERNE
HUELVA,83,"HUELMA, CHELVA"
"GAMONAL, ENTIDAD LOCAL MENOR",83,"BEMBRIVE, ENTIDAD LOCAL MENOR"
PALMA DEL RÍO,83,ALCALÁ DEL RÍO
MANCOMUNIDAD INTERMUNICIPAL DEL VALLE DEL VINALOPÓ-MANCOMUNITAT INTERMUNICIPAL DE LA VALL DEL VINALOPÓ,83,MANCOMUNIDAD INTERMUNICIPAL DE L'HORTA SUD
VILANOVA DEL CAMÍ,83,VILANOVA DE LA BARCA
MIRANDA DE EBRO,83,MIRANDA DE AZÁN
OLVERA,83,COLERA
COMARCA DE BAJO MARTÍN,83,COMARCA DE BAJO CINCA/BAIX CINCA
TOTANÉS,83,TOTANA
VILLANUEVA DE LA JARA,83,VILANOVA DE LA BARCA
MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES DEL ESTE DE MADRID (MISSEM),83,MANCOMUNIDAD INTERMUNICIPAL DE L'HORTA SUD
"MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES ""LAS VEGAS""",83,MANCOMUNIDAD INTERMUNICIPAL DE L'HORTA SUD
"TRAMACASTILLA DE TENA, ENTIDAD LOCAL MENOR",83,"GAMONAL, ENTIDAD LOCAL MENOR"
MORATA DE TAJUÑA,83,MORATA DE JALÓN
CORERA,83,COLERA
CURTIS,83,CUNTIS
MUSEROS,83,MUROS
CABANILLAS,82,CABANAS
"RONQUILLO, EL",82,"BONILLO, EL"
"ROSARIO, EL",82,PUERTO DEL ROSARIO
ARENYS DE MUNT,82,ARENYS DE MAR
SAN ESTEBAN DE LITERA,82,PEDRAJAS DE SAN ESTEBAN
SANT JOAN DE LABRITJA,82,HORTA DE SANT JOAN
JADRAQUE,82,ALJARAQUE
VILLALBA DE LOS BARROS,82,VILALBA DELS ARCS
ALMÀSSERA,82,ALMASSORA
VILLANUEVA DE GÁLLEGO,82,VILLANUEVA DE DUERO
GUADALAVIAR,82,GUADALAJARA
MASSANASSA,82,MASSALFASSAR
MEJORADA DEL CAMPO,82,MEDINA DEL CAMPO
VILLA DEL PRADO,82,PRADO DEL REY
ALMENDRAL,82,ALMENARA
CANTABRIA,82,CANARIAS
MONTERROSO,82,MONTEHERMOSO
VILLAFRANCA,82,VILLABLANCA
BENISSANET,82,BENISSA
"ROBLA, LA",82,"RAMBLA, LA"
"VICTORIA DE ACENTEJO, LA",82,RINCÓN DE LA VICTORIA
VILLANUEVA DE LA CAÑADA,82,VILLANUEVA DE ALGAIDAS
BENISSODA,82,BENISSANÓ
PLASENCIA,82,PALENCIA
VILLANUEVA DE LA JARA,82,VILLALUENGA DE LA SAGRA
SAN MIGUEL DEL CINCA,82,SAN MIGUEL DE ABONA
PONT DE MOLINS,82,MOLINS DE REI
POZOBLANCO,82,POLANCO
LOECHES,82,CHILOECHES
CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,82,"CASTELL, ES"
"VALL D'UIXÓ, LA",82,"VALL D'EN BAS, LA"
CASTELLÓ D'EMPÚRIES,82,"CASTELL, ES"
PALOS DE LA FRONTERA,82,"CHICLANA DE LA FRONTERA, AGUILAR DE LA FRONTERA"
TARRAGONA,82,TARAZONA
MANCOMUNIDAD INTERMUNICIPAL DEL VALLE DEL VINALOPÓ-MANCOMUNITAT INTERMUNICIPAL DE LA VALL DEL VINALOPÓ,82,MANCOMUNIDAD INTERMUNICIPAL DEL ALTO PALANCIA
CASTELL-PLATJA D'ARO,82,"CASTELL, ES"
ALDEA DEL REY,82,ALDEA DEL CANO
COMARCA DE CAMPO DE DAROCA,82,"COMARCA DE CAMPO DE BELCHITE, COMARCA DE CAMPO DE CARIÑENA"
"CASTELL, ES",82,CASTELL DE CABRES
MANCOMUNITAT DE LA BARONIA,82,MANCOMUNIDAD INTERMUNICIPAL DEL VALLE DEL VINALOPÓ-MANCOMUNITAT INTERMUNICIPAL DE LA VALL DEL VINALOPÓ
CONIL DE LA FRONTERA,82,AGUILAR DE LA FRONTERA
MANCOMUNITAT DE SERVEIS SOCIALS DE LA MARINA ALTA,82,MANCOMUNITAT DE LA BARONIA
SERRADILLA,82,SERRADA
VILLANÚA,82,VILLANUBLA
MANCOMUNITAT INTERMUNICIPAL DE LA CONCA D'ÒDENA,82,MANCOMUNITAT DE LA BARONIA
CAMPROVÍN,82,CAMPRODON
SANT POL DE MAR,81,SANT MARTÍ DE TOUS
SANTA COLOMA DE GRAMENET,81,SANTA COLOMA DE FARNERS
SANTA MARIA D'OLÓ,81,"PUIG DE SANTA MARIA, EL"
VILLAFRANCA DEL BIERZO,81,"VILLAFRANCA DE LOS BARROS, PRIARANZA DEL BIERZO"
SANTA MARIA DE MARTORELLES,81,SANTA MARIA D'OLÓ
"VALLS DE VALIRA, LES",81,QUART DE LES VALLS
VILLAFRANCA DEL CID/VILAFRANCA,81,VILLAFRANCA DEL BIERZO
VILLANUEVA DE DUERO,81,VILLANUEVA DE ALGAIDAS
VILANOVA DE AROUSA,81,VILAGARCÍA DE AROUSA
SANT JOAN LES FONTS,81,SANT JOAN DE LES ABADESSES
VILLANUEVA DE LA CAÑADA,81,VILLANUEVA DE DUERO
VEGA DE SAN MATEO,81,SAN MARTÍN DE LA VEGA
"TORRES DE COTILLAS, LAS",81,CAÑETE DE LAS TORRES
SANTA MARIA DE PALAUTORDERA,81,SANTA MARIA D'OLÓ
VILLANUEVA DE LA SERENA,81,VILLANUEVA DE DUERO
VILLANUEVA DE LA TORRE,81,VILLANUEVA DE DUERO
VILLANUEVA DE TAPIA,81,"VILLANUEVA DE GÁLLEGO, VILLANUEVA DE LOS CASTILLEJOS, VILLANUEVA DE LOS INFANTES, VILLANUEVA DE LAS CRUCES, VILLANUEVA DE ALGAIDAS"
BERLANGA DE DUERO,81,ARANDA DE DUERO
CABEZÓN DE LIÉBANA,81,CABEZÓN DE LA SAL
SANTA MARTA DE TORMES,81,SANTA MARIA DE MARTORELLES
SANT MATEU DE BAGES,81,SANT FRUITÓS DE BAGES
GUIJO DE GRANADILLA,81,GRANADILLA DE ABONA
PALMA DEL RÍO,81,ALMODÓVAR DEL RÍO
PARETS DEL VALLÈS,81,BARBERÀ DEL VALLÈS
"MANCOMUNIDAD DE SERVICIOS SOCIALES DE TORRELODONES, HOYO DE MANZANARES, ALPEDRETE Y MORALZARZAL (T.H.A.M.)",81,MANCOMUNIDAD DE SAKANA
"MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE ANSOßIN, BERRIOPLANO, BERRIOZAR, IZA Y JUSLAPE±A",81,MANCOMUNIDAD DE SAKANA
MANCOMUNIDAD DE SAKANA,81,"MANCOMUNIDAD DE LA MERINDAD DE DURANGO, MANCOMUNIDAD CENTRAL DE ZARAGOZA, MANCOMUNIDAD DE LA COMARCA DE PAMPLONA, MANCOMUNIDAD DE CONCEJOS DE CANGAS DE ONÍS, AMIEVA, ONÍS Y PONGA, MANCOMUNIDAD ""BAHÍA DE CÁDIZ"", MANCOMUNIDAD ""COMARCA DE LA SIDRA"""
MAIRENA DEL ALJARAFE,81,MAIRENA DEL ALCOR
LLES DE CERDANYA,81,FONTANALS DE CERDANYA
RIUDELLOTS DE LA SELVA,81,"CASSÀ DE LA SELVA, FORNELLS DE LA SELVA"
MORAL DE CALATRAVA,81,BOLAÑOS DE CALATRAVA
"PICAMOIXONS, ENTIDAD LOCAL MENOR",81,"BEMBRIVE, ENTIDAD LOCAL MENOR"
LAGUNA DE DUERO,81,BERLANGA DE DUERO
"L'ESTARTIT, ENTIDAD LOCAL MENOR",81,"BEMBRIVE, ENTIDAD LOCAL MENOR"
FORNELLS DE LA SELVA,81,CASSÀ DE LA SELVA
SAN ESTEBAN DE LITERA,81,SAN ESTEBAN DE GORMAZ
MAÇANET DE LA SELVA,81,CASSÀ DE LA SELVA
SAN MARTÍN DE LA VEGA,81,MARTÍN DE LA JARA
OLESA DE MONTSERRAT,81,MONISTROL DE MONTSERRAT
SANT JOAN DE MOLLET,81,HORTA DE SANT JOAN
ATECA,80,ALTEA
MONTORO,80,MONTEFRÍO
OTROS,80,OROSO
VILLALBA DEL ALCOR,80,VILALBA DELS ARCS
MONTILLA,80,MONTIEL
MONTEFRÍO,80,MONFERO
VILLAMANTA,80,VILASANTAR
VILLAMARTÍN,80,"VILLAMANTA, VILLAMALUR"
OGÍJARES,80,LONGARES
ALMÀSSERA,80,ALCÀSSER
ORTUELLA,80,"CORELLA, MORELLA"
"VENDRELL, EL",80,"PERELLÓ, EL"
VILLAMAYOR,80,"VILLAMARTÍN, VILARMAIOR, VILLAMALUR, ISLA MAYOR"
ALMUÑÉCAR,80,"ALMUDÉVAR, ALCUÉSCAR"
VILLAMAÑÁN,80,VILLADA
ALMOSTER,80,ALMONTE
MELIANA,80,"ELIANA, L'"
VERA,80,OLVERA
ONDARA,80,ONDA
AIGÜES,80,AGRES
MUEL,80,MANUEL
NÍJAR,80,"ANDÚJAR, IZNÁJAR"
VILANOVA DEL VALLÈS,80,"ROCA DEL VALLÈS, LA"
NÁQUERA,80,ANTEQUERA
NÁJERA,80,NERJA
NERJA,80,BERJA
NEDA,80,JUNEDA
MUXÍA,80,MUXIKA
VILAFRANCA DEL PENEDÈS,80,PACS DEL PENEDÈS
VILLAFRANCA DEL CID/VILAFRANCA,80,VILAFRANCA DEL PENEDÈS
VILADECANS,80,LLARDECANS
VILLANUEVA DE GÁLLEGO,80,VILLAMAYOR DE GÁLLEGO
VILLAFRANCA DE LOS BARROS,80,VILLAFRANCA DE CÓRDOBA
OLVAN,80,OLIVA
AMES,80,AGÜIMES
MORELLA,80,MARBELLA
"MORELL, EL",80,"MONTMELL, EL"
ARAGÓN,80,ALAGÓN
MANCOMUNIDAD DE SERVICIOS SOCIALES MARIOLA,80,MANCOMUNIDAD DE SERVICIOS DEL SUROESTE DE MADRID
MARÍA DE HUERVA,80,CUARTE DE HUERVA
MARTOS,80,ARTÉS
FRÍAS,80,FRADES
ALFARO,80,ALARÓ
ZALAMEA DE LA SERENA,80,TALAVERA DE LA REINA
ZALAMEA LA REAL,80,ZALAMEA DE LA SERENA
ZAMORA,80,AÑORA
INIESTA,80,GINESTAR
ILLUECA,80,ILLESCAS
ÁGREDA,80,BREDA
ÁLORA,80,LLORAC
"ALDEA, L'",80,"ALCÚDIA, L'"
ILLESCAS,80,BIESCAS
FUENTES DE EBRO,80,"CAUDETE DE LAS FUENTES, FUENTES DE AYÓDAR"
"ÈNOVA, L'",80,MÓRA LA NOVA
ALCÁNTARA,80,ALCANAR
ÍLLORA,80,"LORCA, LLÍRIA"
GELIDA,80,ELDA
GÜEÑES,80,GELVES
ÒDENA,80,LIÉDENA
ALARÓ,80,"ALAIOR, ALAJERÓ"
YAIZA,80,ARIZA
ALMEDÍJAR,80,ALAMEDA
VILLENA,80,GUILLENA
LUCENA,80,LENA
MARCILLA,80,ARMILLA
CUBAS DE LA SAGRA,80,CARBAJOSA DE LA SAGRADA
DARRO,80,BARRO
OÑA,80,OIA
MANCOMUNIDAD CENTRAL DE ZARAGOZA,80,COMARCA CENTRAL ZARAGOZA
MAIRENA DEL ALJARAFE,80,ALBAIDA DEL ALJARAFE
LUNA,80,LUCENA
ESPONELLÀ,80,ESPOLLA
LLÍRIA,80,LLERA
LEMOA,80,LEIOA
LLERS,80,ALLER
LLERA,80,ALLER
VILLANÚA,80,VILLAMAÑÁN
LLANÇÀ,80,LLANES
LIÉDENA,80,LENA
FORCALL,80,FORALLAC
"VILLAR DE ARNEDO, EL",80,"BARCO DE ÁVILA, EL"
ALMERÍA,80,ALMENDRAL
OUTES,80,COTES
SANT JOAN DE VILATORRADA,80,HORTA DE SANT JOAN
AYAMONTE,80,ALMONTE
BRIÓN,80,BERIÁIN
CARTES,80,"ARTÉS, ARES"
SEIRA,80,MEIRA
SELLA,80,CELLA
RODA DE TER,80,RODA DE ERESMA
SELVA,80,SELLA
RODA DE ERESMA,80,RODA DE BERÀ
BÉTERA,80,"BERJA, BERGA"
CASARES,80,"CASAR, EL"
"ROBLA, LA",80,"RIBA, LA"
BREDA,80,BEUDA
"RODA, LA",80,"LA RIOJA, ROBLA, LA"
SILLA,80,"ILLAS, SELLA"
RIOLA,80,"FRIOL, RIOJA, RICLA"
"RIBA, LA",80,"LA RIOJA, LA RÀPITA"
BORJA,80,BERJA
QUEROL,80,"QUER, QUEL"
SORIA,80,CORIA
BINÉFAR,80,BIAR
QUER,80,NÁQUERA
SÚRIA,80,SARRIA
SANTOÑA,80,SANTOMERA
RONDA,80,ARONA
BERJA,80,BERGA
CABILDO INSULAR DE LA PALMA,80,"CABILDO INSULAR DE FUERTEVENTURA, CABILDO INSULAR DE EL HIERRO, CABILDO INSULAR DE GRAN CANARIA"
SANT JULIÀ DE VILATORTA,80,SANT JULIÀ DE RAMIS
SANT JOAN DE LES ABADESSES,80,HORTA DE SANT JOAN
CABILDO INSULAR DE LANZAROTE,80,CABILDO INSULAR DE LA PALMA
CABILDO INSULAR DE TENERIFE,80,"CABILDO INSULAR DE LANZAROTE, CABILDO INSULAR DE FUERTEVENTURA, CABILDO INSULAR DE EL HIERRO, CABILDO INSULAR DE LA GOMERA, CABILDO INSULAR DE GRAN CANARIA"
SANT PERE DE VILAMAJOR,80,SANT PERE DE RIBES
CABRANES,80,CABANAS
SAN MARTÍN DE VALDEIGLESIAS,80,SAN MARTÍN DE OSCOS
SAN MARTÍN DE TREVEJO,80,SAN MARTÍN DE OSCOS
SAN MARTÍN DE OSCOS,80,"ALDEAMAYOR DE SAN MARTÍN, SAN MARTÍN DE LA VEGA"
SANTA EULÀRIA DES RIU,80,SANTA EULÀLIA DE RIUPRIMER
GÁLDAR,80,GALAR
"CAMPELLO, EL",80,CAMPELLES
CAMÓS,80,CAMPOS
SAN ESTEBAN DE GORMAZ,80,PEDRAJAS DE SAN ESTEBAN
CANENA,80,ANNA
SALLENT,80,AGULLENT
SALDAÑA,80,SADA
SALAS,80,"DALÍAS, SALAR"
SALAR,80,GALAR
SAHÚN,80,SAHAGÚN
CASTELLÓ,80,CASTALLA
QUART DE LES VALLS,80,BENIFAIRÓ DE LES VALLS
PACS DEL PENEDÈS,80,"BISBAL DEL PENEDÈS, LA, BANYERES DEL PENEDÈS"
"PARRA, LA",80,LA XARA.
TOUS,80,TOQUES
BENIJÓFAR,80,"BENIFAIÓ, BENIARDÁ"
PETRÉS,80,PETRA
PERAMOLA,80,PEDROLA
TÀRBENA,80,TREBUJENA
BENIFAIRÓ DE LES VALLS,80,BENIFAIRÓ DE LA VALLDIGNA
PAÜLS,80,PALAMÓS
BENICARLÓ,80,BENIARDÁ
PARRES,80,ARES
BAZTAN,80,BAZA
TOTANA,80,TONA
PARDINES,80,MARINES
BALSARENY,80,BALENYÀ
PARADELA,80,PARADAS
PALS,80,PALAMÓS
COMARCA DE CAMPO DE CARIÑENA,80,COMARCA DE CAMPO DE BELCHITE
VALLS,80,"CALLÚS, VALDÉS"
PALMERA,80,"ALMENARA, ALMÀSSERA"
"VALLS DE VALIRA, LES",80,BENIFAIRÓ DE LES VALLS
AZUQUECA DE HENARES,80,ALCALÁ DE HENARES
PEÑAFLOR,80,PERAFORT
TOSES,80,ROSES
PÁJARA,80,PARLA
PINTO,80,PINET
PUEBLA DE LA CALZADA,80,"PUEBLA DE ALFINDÉN, LA"
"PUEBLA DE ARGANZÓN, LA",80,"PUEBLA DE ALFINDÉN, LA"
PREMIÀ DE MAR,80,PREMIÀ DE DALT
CASTILLEJA DEL CAMPO,80,"CABANILLAS DEL CAMPO, CASTELLVELL DEL CAMP"
"TOBA, LA",80,"ROBLA, LA"
POTES,80,"OUTES, COTES"
CATALUÑA,80,CASTALLA
TONA,80,"AITONA, TOCINA"
TORELLÓ,80,MARTORELL
TORO,80,"TORENO, TORMOS"
BENISSA,80,BENASSAL
TORREBLANCA,80,TORREBAJA
TORRELLAS,80,TORELLÓ
"PINAR DE EL HIERRO, EL",80,CABILDO INSULAR DE EL HIERRO
PILOÑA,80,PILAS
PILAS,80,ILLAS
TORRES TORRES,80,TORRELLAS
PIERA,80,PETRA
TORROX,80,TORO
TORTELLÀ,80,ORTUELLA
MORAL DE CALATRAVA,80,"CALZADA DE CALATRAVA, ARGAMASILLA DE CALATRAVA"
